
IP Address	Port	Protocol	Country	Anonymity	Latency	Uptime	Alive since
41.93.71.21	80	HTTP	Tanzania	Anonymous	1010ms	74.7%	2 hours
190.110.99.187	999	HTTP	Chile	Anonymous	3294ms	48.8%	19 minutes
146.59.2.185	80	HTTP	Norway	Elite	92ms	31%	9 minutes
123.201.21.234	8080	HTTP	India	Anonymous	2327ms	39.9%	20 minutes
64.225.4.85	9979	HTTP	Canada	Elite	4376ms	39.7%	7 minutes
42.228.61.245	9091	HTTP	China	Elite	929ms	93.9%	7 hours
142.54.229.249	4145	Socks4	United States	Elite	840ms	90.7%	17 minutes
143.42.138.51	8080	HTTP	United States	Anonymous	431ms	100%	17 hours
103.106.194.169	5678	Socks4	India	Elite	3884ms	39.8%	16 minutes
120.196.188.21	9091	HTTP	China	Elite	1143ms	88.8%	50 minutes
102.130.192.231	8080	HTTP	Angola	Elite	4390ms	31.3%	13 minutes
43.153.206.208	8080	HTTP	Japan	Elite	652ms	51.2%	22 minutes
120.197.157.44	9002	HTTP	China	Elite	1057ms	47.1%	6 minutes
103.149.146.252	80	HTTP	Unkown	Elite	403ms	85.7%	2 hours
64.225.4.85	9942	HTTP	Canada	Elite	2582ms	33.6%	6 minutes
201.229.250.21	8080	HTTP	Dominican Republic	Elite	8520ms	61.5%	15 minutes
144.76.168.83	3128	HTTP	Germany	Anonymous	6974ms	37.9%	8 minutes
123.55.73.218	9002	HTTP	China	Elite	1070ms	41.1%	1 hour
183.221.242.107	8443	HTTP	China	Elite	991ms	92.8%	8 minutes
142.54.239.1	4145	Socks5	United States	Elite	2042ms	89%	16 minutes
103.152.9.148	80	HTTP	Unkown	Elite	1696ms	99.8%	7 hours
